"Year","State","Type","Production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.358
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.324
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.216
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.079
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.182
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","INSECTICIDE",0.303
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE",0.501
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE",0.129
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRETHRINS = 69001)","INSECTICIDE",0.042
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE",0.077
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINOSAD = 110003)","INSECTICIDE",0.084
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.046
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",1
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.281
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.187
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.068
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",0.617
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPROPATHRIN = 127901)","INSECTICIDE",0.216
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.024
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CUPRAMMONIUM ACETATE = 36011)","OTHER",0.323
2019,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",30
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.324
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE",6.709
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE",1.594
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.321
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.214
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE",0.514
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.165
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.03
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ORYZALIN = 104201)","HERBICIDE",1.246
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0.497
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",1.037
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.23
2017,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.025
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.323
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE",8.562
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE",1.27
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYMOXANIL = 129106)","FUNGICIDE",0.136
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.28
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FAMOXADONE = 113202)","FUNGICIDE",0.136
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.187
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE",0.5
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.06
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.164
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.017
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ORYZALIN = 104201)","HERBICIDE",2.038
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0.279
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",0.694
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFENTRAZONE = 129081)","HERBICIDE",0.198
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE",0.102
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.079
2017,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.025
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE",0.204
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.335
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE",9.176
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.328
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.219
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.17
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.027
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DIURON = 35505)","HERBICIDE",0.998
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0.409
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",1.445
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE",0.094
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.759
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110008)","INSECTICIDE",0.027
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM-L = 110009)","INSECTICIDE",0.027
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.026
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",41
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)",17
2015,"OREGON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)",34
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE",0.222
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.332
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE",9.875
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYMOXANIL = 129106)","FUNGICIDE",0.154
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.294
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FAMOXADONE = 113202)","FUNGICIDE",0.154
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.196
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.06
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.169
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.021
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DIURON = 35505)","HERBICIDE",0.943
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0.291
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SIMAZINE = 80807)","HERBICIDE",0.75
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE",0.468
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE",0.103
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE",0.108
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE",1.192
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0.026
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)",30
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)",43
2015,"WASHINGTON"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)",42
